# energy [GeV], eff area [m2]
1106.9236005176062, 2.0030644131347843
1176.4899870201841, 2.3414857842975634
1314.070236355129, 2.931835551627933
1447.239224633211, 3.390155333679977
1581.1336880518, 3.9112480677953374
1713.576037354501, 4.436844030580073
1872.1112263842772, 5.113550512018991
2061.8325601945203, 5.943461039925841
2252.5874537928385, 6.813361844585939
2460.990448470845, 7.7688571106999325
2710.38930031145, 8.974076114066415
2985.0624425655224, 10.323640207358654
3287.5711931829596, 11.863930564794366
3620.7364362392827, 13.577969501777414
3987.664926586177, 15.539643862910024
4427.248336368119, 17.929261015362837
4954.9877732211935, 20.85138479900245
5545.635114047522, 24.121628595364015
6206.689143485803, 27.904763722000848
6946.542520672306, 32.05400888260596
7774.588331389772, 36.85274323553443
8701.33934150771, 42.22050559363333
9738.561465740704, 48.199571592350765
10899.423146227584, 54.83136614632883
12297.18469934798, 62.81779313664332
13986.252273949114, 72.4136666404049
15907.320045450619, 83.15353994634077
18092.254170169294, 95.04466738825268
20577.29774863123, 108.46851745515363
23592.691128688413, 124.15014129902694
27268.42794738224, 143.2132933871314
31516.843867692925, 163.73525059264617
36427.16218541269, 187.3265333296523
42102.50716895449, 212.5579715198614
49055.08769464548, 242.58324553615464
57617.39687984853, 278.0883761446312
67674.21238495393, 315.6531023773756
80128.36213659619, 360.1693098387104
95640.71189717369, 411.7031779750648
114156.15555207385, 469.0267321663167
136256.07329690302, 531.0393674449829
162634.3968969944, 597.8821777210787
194119.39896737272, 672.0048820463617
231699.7005210429, 750.6629715972194
276555.3134159673, 836.6454749917933
330094.69242562854, 928.2944499682986
393998.96035871725, 1025.3635051969748
470274.69488539273, 1129.405353694903
561316.9345629623, 1240.5141211579319
669984.3824340706, 1358.73094559969
799689.1685711537, 1483.2046626628958
954503.9900880846, 1611.819894828229
1139289.9927880038, 1754.5429805079712
1359849.4098983365, 1899.202525707251
1623107.750710268, 2052.326615703767
1937331.2597993491, 2212.8174258566064
2312386.474991156, 2383.1788827704077
2760050.0341257174, 2560.8940340793097
3294378.458473949, 2748.7707985746033
3932149.5239107157, 2945.4616936926013
4693389.07878654, 3154.4540561962503
5601999.850444378, 3372.585467128513
6686511.984745286, 3603.7752551617314
7980978.885352125, 3846.488047499364
9224413.887238562, 4055.4348245149095
