# energy [GeV], eff area [m2]
1156.5314471803463, 1.9938172505577767
1242.904769836476, 2.2719968500620844
1323.9374541506727, 2.5540214295335386
1422.3801444380165, 2.851855255392674
1599.6531498720462, 3.4252578376229383
1803.622457900841, 4.28479055261841
1987.2478590637331, 5.033252129607485
2204.315705261796, 5.825884740312629
2425.607013515478, 6.702711262351935
2669.0992932346253, 7.719451260824364
2937.0980004764892, 8.853870540944518
3232.005900368233, 10.154999482104847
3556.62128471327, 11.587511243147148
3913.7978748884307, 13.249363691600486
4341.481700253589, 15.216737947128983
4854.534860694966, 17.621025110738618
5428.293572542807, 20.35122666901885
6069.949580947579, 23.44227873821306
6787.579225590971, 26.907631835500375
7590.192864775173, 30.776380672030115
8487.871233223033, 35.077289773905875
9567.997274015604, 40.20086959791252
10872.273017291147, 46.31290497004669
12354.594180960603, 53.14852813669201
14039.41393131873, 60.66415632555537
16082.365885417446, 69.49932679438025
18570.840482505828, 79.90965845817685
21445.06198318008, 91.31333002542272
24963.70094569643, 104.48173350024938
29294.02629453073, 119.57509250079919
34652.4404959904, 137.1042510951679
41323.11240561777, 156.13982111045277
49279.36054881562, 176.82214028372846
58770.26493976364, 198.45221152398432
70092.37550393232, 220.73519133488293
83599.40198987385, 243.4599481076208
99713.40347994663, 266.42057758333266
118938.69550179358, 289.10015155543556
141877.86072804395, 310.72860010871005
169247.70379360823, 331.54494390832525
201908.84153402995, 349.99995389131493
240882.8418241396, 366.58767337434205
287393.4996364433, 380.5257603367148
342899.8357977299, 391.67926458240686
465247.3243472966, 402.5506160292392
555164.5572380398, 405.82592491172136
662512.7655428072, 402.96900493554614
790636.8322661777, 398.337933391329
943600.32987932, 388.9234670628688
1126204.0976117908, 376.75664765827565
1344204.6201635902, 361.9078578371441
1604489.126323509, 344.1465955549027
1915258.6575297888, 324.5108755032618
2286328.529846089, 303.25737327694276
2729428.153915883, 280.70221330254185
3258546.776857879, 257.6443473308148
3890457.276349971, 233.96979642428988
4645116.414164354, 210.68775198273565
5546457.232453729, 187.81365200413086
6622968.843382882, 166.11135405543385
7908934.987584826, 145.11220422448088
9071298.373669052, 130.66518547324662
