# energy [GeV], eff area [m2]
1109.8276052647325, 2.1885112549317935
1232.1703326438005, 2.530258336317785
1357.0395154658488, 2.889856949494171
1494.5630468025156, 3.2869895470130635
1659.3173910974315, 3.763537849614545
1842.2335613669175, 4.305373051766191
2045.3136409195574, 4.931017852676981
2289.12030976621, 5.689287793980608
2561.989363268635, 6.529477679256475
2867.3851127431526, 7.487132432341716
3209.1848243629743, 8.554974678510833
3591.7279444437636, 9.775116496379525
4052.337571454085, 11.190255906970801
4608.942368456441, 12.939574911422358
5241.999063797282, 14.870163547315949
5962.008631940059, 17.075599067240447
6780.914398252257, 19.517444895891582
7712.300151679311, 22.274035677583694
8842.45917967582, 25.513965076426572
10220.112648593102, 29.330726338604084
11812.404267583179, 33.64905928974138
13652.774619859532, 38.497279014359584
15779.874325179844, 43.80272585594838
18385.677501955863, 50.16210994044028
21594.80142262028, 57.43293076392185
25568.91329324593, 66.0019420504528
30274.384755986313, 75.56869064257633
35845.80861305535, 86.48322210564356
42785.33296909452, 98.41406983083068
51068.30583840063, 112.11676771350515
60954.81045077438, 127.08308143279598
72755.28052266, 143.3206259559332
86840.24779645103, 161.26999151034548
103651.97664244128, 180.8565703239035
123718.35104694698, 201.91232663023146
147669.45003447554, 225.03978591192552
176257.33198795802, 249.6914051751054
210379.64908964105, 275.95592210657077
251107.8333700435, 304.81183161304045
299720.7393997036, 335.740557127771
357744.7999956414, 368.14898504266057
427001.9558214396, 403.00583918101535
509666.86385813705, 440.4199673630785
608335.1810772802, 481.03717340107386
726105.0674060198, 523.3378130166067
866674.4671564931, 569.358215284228
1034457.22353151, 617.3407265237986
1234721.672172321, 668.615160228942
1473756.0655504232, 724.1482916658669
1759066.0224870006, 781.65419373349
2099610.2026644163, 844.6754279027261
2506081.6062491415, 910.2170006046102
2991243.3313623513, 981.3954683612293
3570329.3320968584, 1057.5456679693864
4261522.760779715, 1138.9645047170236
5086526.914305084, 1227.3410839625287
6071246.712106298, 1320.3476134737848
7246602.104001118, 1420.4020733808834
8649498.94870851, 1530.6164618703785
9602983.333875667, 1601.8884022237603
